iter	F1	Logloss
0	0.6468816178	0.6760655151
1	0.6469025738	0.6599762
2	0.6711196844	0.6451944351
3	0.6716460623	0.631736992
4	0.6737580562	0.6194071647
5	0.6704140469	0.6078461946
6	0.6707930143	0.5976020859
7	0.6729026261	0.588360678
8	0.6720901854	0.5792322924
9	0.6711538462	0.5710427936
10	0.6731775375	0.5635811762
11	0.6725710124	0.5568779699
12	0.6753148979	0.5506080738
13	0.6769684868	0.5446833297
14	0.6767489115	0.5394933833
15	0.6753775864	0.5345537744
16	0.6760259808	0.5299819476
17	0.6754526635	0.5256822468
18	0.6749438955	0.5216040834
19	0.677356459	0.5176675812
20	0.6769329297	0.5143652605
21	0.6761196207	0.5111016008
22	0.6787783504	0.5080271255
23	0.6828646723	0.5050509376
24	0.6836058458	0.5024042254
25	0.6841162535	0.4999541124
26	0.6847675226	0.4976675778
27	0.686089573	0.4954718367
28	0.6864230369	0.4934919053
29	0.6877506853	0.491732466
30	0.6877705315	0.4898635339
31	0.686961051	0.4886008206
32	0.688123536	0.4870345175
33	0.6882317232	0.4853940095
34	0.6876229034	0.4839511899
35	0.6889081456	0.4825635153
36	0.688315823	0.4816288288
37	0.6872533086	0.4807188593
38	0.687641493	0.4796073562
39	0.6884865367	0.4784350773
40	0.6888128119	0.4774053667
41	0.6899689882	0.476433764
42	0.690872211	0.475404032
43	0.6908732916	0.4745557536
44	0.6905418348	0.4738875281
45	0.6905217946	0.4730468352
46	0.6908732345	0.4722084281
47	0.6914224425	0.4714534553
48	0.6902881041	0.4708646182
49	0.6910791033	0.4702242599
50	0.6911243977	0.4696505403
51	0.6914797946	0.4690172375
52	0.6917651157	0.4685146253
53	0.6925778642	0.467934667
54	0.6919970951	0.4673880833
55	0.6928639888	0.4668148362
56	0.692996222	0.4663500389
57	0.6939474907	0.4658586145
58	0.6938301026	0.4653776858
59	0.6937458204	0.4649589335
60	0.6938644769	0.4645321339
61	0.6937967572	0.4641498566
62	0.6941186742	0.4638424596
63	0.6942124713	0.4633380174
64	0.6944371671	0.462942286
65	0.6945140792	0.4625929754
66	0.6938835065	0.4623444282
67	0.6940764517	0.4619175938
68	0.694527944	0.4615473552
69	0.6950379451	0.4612154097
70	0.6956039465	0.4607595565
71	0.696413459	0.4604038433
72	0.6968547587	0.4600418218
73	0.6970412476	0.4596238075
74	0.696609526	0.4593172589
