iter	Passed	Remaining
0	15	30401
1	24	24837
2	35	23440
3	48	24428
4	65	25935
5	72	24168
6	84	24092
7	95	23841
8	111	24735
9	129	25814
10	138	25045
11	148	24620
12	157	24085
13	168	23846
14	175	23261
15	186	23133
16	193	22563
17	203	22380
18	209	21863
19	217	21537
20	227	21392
21	235	21144
22	244	20999
23	251	20673
24	257	20374
25	265	20167
26	272	19916
27	279	19692
28	289	19677
29	297	19564
30	307	19501
31	318	19576
32	326	19479
33	335	19422
34	347	19516
35	359	19606
36	368	19565
37	376	19449
38	384	19354
39	392	19211
40	401	19172
41	409	19091
42	419	19113
43	428	19061
44	437	19010
45	444	18882
46	451	18777
47	461	18768
48	469	18701
49	480	18734
50	491	18779
51	504	18887
52	511	18789
53	518	18698
54	527	18657
55	536	18638
56	545	18610
57	554	18575
58	562	18521
59	572	18501
60	581	18484
61	589	18417
62	598	18404
63	606	18337
64	613	18273
65	621	18201
66	628	18130
67	639	18160
68	647	18128
69	657	18139
70	665	18094
71	675	18095
72	685	18083
73	695	18093
74	703	18044
75	710	17980
76	720	17998
77	728	17959
78	738	17946
79	746	17922
80	756	17911
81	764	17887
82	773	17854
83	782	17839
84	790	17800
85	799	17796
86	808	17771
87	817	17766
88	826	17748
89	835	17726
90	843	17701
91	851	17661
92	858	17609
93	866	17567
94	874	17535
95	881	17483
96	889	17447
97	896	17404
98	903	17342
99	913	17357
100	920	17308
101	928	17285
102	937	17269
103	945	17230
104	953	17214
105	961	17180
106	973	17216
107	981	17189
108	991	17202
109	1000	17183
110	1007	17150
111	1016	17140
112	1026	17137
113	1034	17107
114	1044	17121
115	1052	17099
116	1061	17090
117	1075	17145
118	1083	17132
119	1094	17143
120	1101	17110
121	1111	17110
122	1122	17123
123	1131	17124
124	1141	17124
125	1154	17164
126	1167	17217
127	1179	17245
128	1192	17299
129	1204	17322
130	1214	17326
131	1224	17325
132	1239	17394
133	1246	17357
134	1259	17399
135	1267	17376
136	1279	17401
137	1291	17427
138	1303	17454
139	1315	17475
140	1326	17488
141	1343	17576
142	1354	17587
143	1366	17609
144	1380	17657
145	1393	17690
146	1400	17655
147	1409	17634
148	1416	17593
149	1424	17564
150	1433	17548
151	1440	17512
152	1447	17473
153	1455	17444
154	1463	17420
155	1472	17407
156	1479	17370
157	1489	17364
158	1497	17335
159	1507	17341
160	1516	17318
161	1524	17291
162	1534	17297
163	1544	17294
164	1553	17277
165	1568	17324
166	1576	17300
167	1583	17270
168	1592	17250
169	1600	17233
170	1610	17228
171	1619	17210
172	1628	17200
173	1636	17176
174	1647	17177
175	1654	17150
176	1663	17133
177	1671	17114
178	1680	17097
179	1688	17072
180	1697	17057
181	1708	17064
182	1715	17034
183	1723	17010
184	1731	16990
185	1739	16964
186	1748	16952
187	1756	16931
188	1764	16911
189	1772	16882
190	1779	16858
191	1789	16848
192	1797	16827
193	1806	16816
194	1815	16804
195	1823	16786
196	1831	16760
197	1839	16739
198	1846	16715
199	1854	16691
200	1863	16680
201	1871	16656
202	1878	16628
203	1886	16610
204	1893	16580
205	1902	16567
206	1909	16540
207	1916	16511
208	1923	16487
209	1930	16459
210	1938	16432
211	1945	16411
212	1952	16383
213	1960	16360
214	1967	16334
215	1975	16312
216	1984	16302
217	1991	16280
218	2001	16273
219	2009	16255
220	2018	16250
221	2028	16248
222	2039	16248
223	2048	16237
224	2057	16232
225	2066	16224
226	2077	16224
227	2088	16235
228	2097	16219
229	2106	16211
230	2116	16205
231	2128	16222
232	2137	16207
233	2147	16208
234	2157	16202
235	2165	16185
236	2174	16175
237	2183	16168
238	2194	16167
239	2206	16180
240	2215	16171
241	2225	16169
242	2235	16162
243	2246	16165
244	2259	16187
245	2268	16172
246	2276	16155
247	2284	16140
248	2294	16135
249	2303	16127
250	2313	16120
251	2322	16110
252	2331	16102
253	2341	16092
254	2353	16107
255	2362	16096
256	2371	16085
257	2383	16092
258	2392	16079
259	2402	16078
260	2409	16056
261	2417	16036
262	2424	16014
263	2431	15987
264	2439	15973
265	2446	15949
266	2453	15927
267	2462	15915
268	2469	15888
269	2476	15869
270	2483	15843
271	2489	15818
272	2497	15802
273	2505	15783
274	2514	15774
275	2522	15756
276	2529	15734
277	2538	15725
278	2545	15701
279	2552	15679
280	2561	15667
281	2567	15644
282	2576	15630
283	2585	15622
284	2603	15668
285	2610	15646
286	2618	15626
287	2624	15603
288	2631	15577
289	2638	15560
290	2645	15538
291	2653	15520
292	2660	15497
293	2666	15473
294	2675	15465
295	2683	15447
296	2691	15433
297	2699	15415
298	2706	15395
299	2713	15374
300	2720	15356
301	2727	15337
302	2736	15328
303	2743	15307
304	2752	15297
305	2760	15284
306	2770	15278
307	2781	15281
308	2792	15282
309	2800	15264
310	2807	15248
311	2815	15234
312	2822	15213
313	2829	15195
314	2837	15181
315	2846	15166
316	2855	15159
317	2862	15142
318	2869	15122
319	2878	15110
320	2885	15093
321	2893	15080
322	2900	15060
323	2908	15045
324	2915	15027
325	2923	15011
326	2931	14999
327	2938	14979
328	2944	14957
329	2951	14936
330	2958	14919
331	2965	14899
332	2973	14884
333	2979	14864
334	2986	14843
335	2993	14824
336	3000	14806
337	3012	14813
338	3021	14802
339	3029	14791
340	3035	14769
341	3042	14748
342	3050	14736
343	3057	14719
344	3065	14706
345	3073	14693
346	3083	14689
347	3092	14678
348	3104	14684
349	3112	14673
350	3122	14669
351	3131	14660
352	3137	14639
353	3144	14622
354	3152	14606
355	3159	14590
356	3166	14572
357	3173	14557
358	3180	14539
359	3188	14527
360	3196	14510
361	3203	14494
362	3210	14479
363	3218	14464
364	3225	14447
365	3233	14437
366	3240	14419
367	3249	14412
368	3258	14403
369	3270	14406
370	3278	14396
371	3286	14381
372	3292	14363
373	3300	14348
374	3307	14332
375	3314	14315
376	3321	14297
377	3329	14287
378	3337	14273
379	3343	14254
380	3352	14247
381	3360	14233
382	3367	14215
383	3374	14199
384	3381	14183
385	3389	14174
386	3397	14159
387	3404	14143
388	3412	14134
389	3420	14119
390	3427	14105
391	3434	14089
392	3442	14074
393	3448	14057
394	3455	14041
395	3464	14031
396	3471	14017
397	3478	14002
398	3487	13993
399	3495	13980
400	3501	13963
401	3510	13953
402	3517	13938
403	3525	13925
404	3531	13908
